"","name","address","start","end","gcode","lat","long","contains"
"1","Home Business","10930 ASHTON AVENUE ,LOS ANGELES,CA,90024","01/26/2018","08/01/2020","10930, Ashton Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024-3990, United States",34.05729385,-118.44413478709,0
"2","BIGZOO.COM CORP","1105 GAYLEY AVENUE,LOS ANGELES,CA,90024","01/01/2004","07/09/2020","1105, Gayley Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.06002004,-118.4464248,1
"3","UNNATURALISM INC","10640 WILKINS AVENUE ,LOS ANGELES,CA,90024","07/21/2017","02/18/2020","10640, Wilkins Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0566151987087,-118.432792659446,1
"4","Home Business","1613 MANNING AVENUE,LOS ANGELES,CA,90024","05/09/2015","07/29/2020","1613, Manning Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0547391428571,-118.433554571429,0
"5","Home Business","10748 ROCHESTER AVENUE,LOS ANGELES,CA,90024","05/01/1980","01/24/2020","10748, Rochester Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.057593,-118.436757,0
"6","KLKP LLC","1344 COMSTOCK AVENUE,LOS ANGELES,CA,90024","01/01/2019","08/12/2020","1344, Comstock Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0655169327443,-118.425147101168,1
"7","Home Business","1281 WESTWOOD BLVD ,LOS ANGELES,CA,90024","06/20/2001","03/17/2020","1281, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0571821020408,-118.442971755102,0
"8","Home Business","10300 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2018","03/01/2020","Beverly Hills Plaza Hotel & Spa, 10300, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0674197,-118.4257667,0
"9","CONVOY CAPITAL GROUP, LLC","10390 WILSHIRE BLVD ,LOS ANGELES,CA,90024","01/01/2018","07/31/2020","Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0611221,-118.4346192,1
"10","CALLGEAR, INC.","10880 WILSHIRE BLVD ,LOS ANGELES,CA,90024","09/29/2018","08/28/2020","U.S. Coast Guard - Motion Picture and Television Office, 10880, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.058617,-118.4432767,1
"11","SP PLUS CORPORATION","10889 WILSHIRE BLVD,LOS ANGELES,CA,90024","11/26/2001","06/30/2020","10889, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.059065375,-118.443119625,1
"12","SP PLUS CORPORATION","924 WESTWOOD BLVD,LOS ANGELES,CA,90024","08/01/1994","06/30/2020","924, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0630323145897,-118.445184210811,1
